"bbref_id","age2021","PA1","PA2","PA3","PA4","bats","Team2021","POS_2021","wOPS_2020","wOPS_2019","wOPS_2018","wOPS_2017","wwRCplus_2020","wwRCplus_2019","wwRCplus_2018","wwRCplus_2017","LAVG","RAVG","avg_ops","reliability","D_regressed_ops","age_adjustment","park_factor","avg_wRCplus","wRC_reliability","D_regressed_wRCplus","BETTER_THAN_MARCEL_OPS","MARCEL_OPS"
"sanchga02",27,178,446,374,525,"R","NYY","C",0.618,0.841,0.697,0.876,69,116,90,131,101,103,0.712083333333333,0.454049135577798,0.716405444343342,0.012,103,89.9166666666667,0.454049135577798,95.4216712162572,0.729284550872005,0.725002309675462
"sanomi01",27,205,439,299,483,"R","MIN","1B",0.757,0.923,0.679,0.859,101,138,83,125,102,99,0.792833333333333,0.44003733084461,0.752049385596516,0.012,99,108.833333333333,0.44003733084461,103.886996422461,0.762865883180899,0.761073978223674
"santaca01",34,255,686,679,667,"B","KCR","1B",0.699,0.911,0.766,0.818,99,138,108,115,102,101,0.786416666666667,0.574468085106383,0.758154255319149,-0.015,101.72,114.25,0.574468085106383,108.186170212766,0.764992351292553,0.746781941489362
"schoojo01",28,177,464,501,675,"R","DET","1B",0.799,0.777,0.68175249500998,0.841,117,101,80.3013972055888,120,97,101,0.762354790419162,0.487617421007686,0.740652933671513,0.006,101,102.492015968064,0.487617421007686,101.215150399457,0.750572152105128,0.745096851272318
"schwaky01",27,224,610,510,486,"L","WSN","OF",0.701,0.871,0.823,0.782,91,119,115,103,107,104,0.788166666666667,0.528301886792453,0.756012578616352,0.012,107,106.333333333333,0.528301886792453,103.345911949686,0.796680808301887,0.765084729559748
"seageco01",26,232,541,115,613,"L","LAD","SS",0.943,0.817,0.744,0.854,149,112,106,127,98,98,0.85125,0.425287356321839,0.775818965517241,0.018,98,125.916666666667,0.425287356321839,111.022030651341,0.797757593965517,0.789783706896552
"seageky01",32,248,443,630,650,"L","SEA","3B",0.788,0.789,0.673,0.773,119,111,83,106,95,97,0.759583333333333,0.523998413328044,0.740741603860902,-0.009,95,107.333333333333,0.523998413328044,103.842655031072,0.721256479435244,0.734074929426154
"segurje01",30,217,618,632,566,"R","PHI","2B",0.769,0.743,0.755,0.776,106,91,109,111,104,101,0.756833333333333,0.550056242969629,0.740260404949381,-0.003,101,101.75,0.550056242969629,100.962598425197,0.743115963585489,0.738039623734533
"semiema01",29,236,747,703,386,"R","TOR","2B",0.679,0.892,0.706,0.722,93,138,97,97,103,100,0.75675,0.584199584199584,0.741469334719335,0,100,109,0.584199584199584,105.257796257796,0.749040561330561,0.741469334719335
"shawtr01",30,180,270,587,606,"L","MIL","3B",0.717,0.551,0.825,0.862,91,47,119,120,102,97,0.688666666666667,0.463567277603934,0.70547489196841,-0.003,102,83.3333333333333,0.463567277603934,92.2738787066011,0.699266437302935,0.703358467292505
"simmoan01",30,127,424,600,647,"R","MIN","SS",0.702,0.673,0.754,0.752,95,78,106,102,102,99,0.705333333333333,0.489578902594641,0.712819509428612,-0.003,99,92.0833333333333,0.489578902594641,96.1241670211258,0.701546446156245,0.710681050900326
"slateau01",27,104,192,225,127,"R","SFG","OF",0.914,0.75,0.64,0.74,150,99,80,100,95,96,0.790833333333333,0.302730970366066,0.741443443734263,0.012,96,115.5,0.302730970366066,104.692330040674,0.742090905016463,0.750340765059074
"smithdo02",25,199,197,149,183,"L","NYM","OF",0.993,0.881,0.675,0.658,166,134,83,74,98,94,0.876166666666667,0.312320916905444,0.7687741165234,0.024,98,134.583333333333,0.312320916905444,110.801098376313,0.794906030028653,0.787224695319962
"sogarer01",34,128,442,113,299,"L","CHC","2B",0.56,0.810653846153846,0.406,0.77,55,115.730769230769,15,109,98,100,0.605051282051282,0.362719065321296,0.67830590846576,-0.015,98,65.2435897435897,0.362719065321296,87.3931873578714,0.64329619643572,0.668131319820451
"solerjo01",28,174,679,257,110,"R","KCR","OF",0.769,0.922,0.82,0.503,107,136,123,32,102,101,0.83275,0.480519480519481,0.774178571428571,0.006,101,120.666666666667,0.480519480519481,109.930735930736,0.797018020811688,0.778823642857143
"springe01",30,222,556,620,629,"R","TOR","OF",0.899,0.974,0.78,0.889,143,155,119,140,103,100,0.89425,0.53810623556582,0.813765011547344,-0.003,100,141,0.53810623556582,122.062355658199,0.843093508660508,0.811323716512702
"storytr01",27,259,656,656,555,"R","COL","SS",0.874,0.917,0.914,0.765,117,122,128,82,113,116,0.898333333333333,0.56694334175388,0.821104895946109,0.012,116,121.416666666667,0.56694334175388,112.142036569229,0.914919339732949,0.830958154697462
"suareeu01",28,231,662,606,632,"R","CIN","3B",0.781,0.93,0.892,0.828,100,130,135,116,104,101,0.858416666666667,0.555390885513153,0.796875355069779,0.006,101,118.75,0.555390885513153,110.413579103372,0.820660444145054,0.801656607200198
"suzukku01",36,129,309,388,309,"R","LAA","C",0.745,0.809,0.776,0.887,102,105,107,126,101,101,0.774083333333333,0.407699901283317,0.742049769661073,-0.021,101,104.25,0.407699901283317,101.732724580454,0.732594181516535,0.72646672449819
"swansda01",26,264,545,533,551,"R","ATL","SS",0.809,0.748,0.699,0.636,115,91,79,63,99,104,0.761166666666667,0.5279307631786,0.741733149750852,0.018,104,98,0.5279307631786,98.9441384736428,0.768665592777341,0.755084346446368
"tayloch03",29,214,414,604,568,"R","LAD","OF",0.842,0.794,0.775,0.85,129,106,113,126,98,98,0.80925,0.506578947368421,0.765212171052632,0,98,117.333333333333,0.506578947368421,108.780701754386,0.770204259868421,0.765212171052632
"troutmi01",28,241,600,608,507,"R","LAA","OF",0.993,1.083,1.088,1.071,160,177,188,180,101,101,1.04675,0.546998867497169,0.8987318799547,0.006,101,172.666666666667,0.546998867497169,139.748584371461,0.965882854085504,0.904124271234428
"turneju01",35,175,549,426,543,"R","LAD","3B",0.86,0.881,0.924,0.945,138,131,154,151,98,98,0.883,0.48936170212766,0.799765957446809,-0.018,98,139.666666666667,0.48936170212766,119.41134751773,0.80546880893617,0.785370170212766
"turnetr01",27,259,569,740,447,"R","WSN","SS",0.982,0.85,0.76,0.789,159,118,105,104,107,104,0.8825,0.566473988439306,0.812052023121387,0.012,104,131.833333333333,0.566473988439306,118.032755298651,0.864199747976879,0.821796647398844
"uptonju01",32,166,256,613,635,"R","LAA","OF",0.711,0.724,0.808,0.90092125984252,91,89,121,137.637795275591,101,101,0.739583333333333,0.463087248322148,0.729068791946309,-0.009,101,97.8333333333333,0.463087248322148,98.996644295302,0.724674876468121,0.722507172818792
"vazquch01",29,189,521,269,345,"R","BOS","C",0.801,0.798,0.54,0.735,114,102,42,92,106,104,0.73475,0.449288664525011,0.726627007801744,0,104,92,0.449288664525011,96.4056906837999,0.735983742542451,0.726627007801744
"villajo01",29,128,714,515,436,"B","NYM","3B",0.591685990338164,0.792,0.709497087378641,0.665,63.8260869565217,107,94.4155339805825,72,98,94,0.687910101152229,0.53070003910833,0.702969889426505,0,96.88,85.864753060363,0.53070003910833,92.4984238963288,0.681201289562165,0.718075825875929
"voitlu01",29,234,510,148,124,"R","NYY","1B",0.948,0.842,1.095,0.736,153,126,195,95,101,103,0.949416666666667,0.426386233269598,0.817820108349267,0,103,154.5,0.426386233269598,123.238049713193,0.863550201561504,0.817820108349267
"vottojo01",36,223,608,623,707,"L","CIN","1B",0.8,0.768,0.837,1.032,110,98,130,163,104,101,0.798583333333333,0.547852298417483,0.763052059783974,-0.021,104,111,0.547852298417483,106.026375282592,0.770646506266013,0.74702796652851
"winkeje01",26,183,384,334,137,"L","CIN","OF",0.932,0.83,0.836,0.904,142,111,127,134,104,101,0.874,0.428843407901,0.786041884816754,0.018,104,127.916666666667,0.428843407901,111.97187847057,0.833433956515945,0.800190638743455
"wolteto01",28,109,411,216,266,"L","CHC","C",0.55,0.666,0.577,0.625,37,63,46,50,98,100,0.595416666666667,0.380165289256198,0.672637741046832,0.006,98,47.9166666666667,0.380165289256198,80.1997245179063,0.641394435123967,0.676673567493113
"wongko01",29,208,549,407,411,"L","MIL","2B",0.675,0.784,0.72,0.788,92,109,99,108,102,97,0.722583333333333,0.49238578680203,0.721271996615905,0,102,99.4166666666667,0.49238578680203,99.7127749576988,0.72807111252115,0.721271996615905
"yelicch01",28,247,580,651,695,"L","MIL","OF",0.786,0.11,0.1,0.807,114,174,167,117,102,97,0.389166666666667,0.551904406273338,0.537411625591237,0.006,102,147.25,0.551904406273338,126.077483196415,0.58359403210107,0.848780882499378
